,HBNT,HHYR,HHZD,CA
1955 Q1,-15,,,-0.6
1955 Q2,-53,,,-0.4
1955 Q3,70,,,-0.3
1955 Q4,32,,,-0.9
1956 Q1,-158,,,0.5
1956 Q2,-141,,,1.3
1956 Q3,-82,,,1.3
1956 Q4,131,,,1.6
1957 Q1,-102,,,0.5
1957 Q2,-99,,,1.1
1957 Q3,114,,,1.3
1957 Q4,-226,,,1.9
1958 Q1,-220,,,2.2
1958 Q2,-108,,,0.9
1958 Q3,-79,,,2
1958 Q4,-4,,,1.2
1959 Q1,-107,,,0.5
1959 Q2,18,,,1.2
1959 Q3,-35,,,1.2
1959 Q4,56,,,0.1
1960 Q1,-95,,,-0.2
1960 Q2,14,,,-1.3
1960 Q3,52,,,-1.1
1960 Q4,22,,,-0.7
1961 Q1,35,,,0.1
1961 Q2,16,,,-0.4
1961 Q3,-35,,,0.9
1961 Q4,7,,,0.4
1962 Q1,-114,,,0.7
1962 Q2,-43,,,0.9
1962 Q3,-65,,,0.5
1962 Q4,27,,,0.5
1963 Q1,-87,,,1.1
1963 Q2,6,,,0.5
1963 Q3,12,,,0.4
1963 Q4,39,,,0
1964 Q1,4,,,-0.8
1964 Q2,62,,,-0.6
1964 Q3,205,,,-1.3
1964 Q4,121,,,-1.5
1965 Q1,54,,,0.1
1965 Q2,-58,,,-0.2
1965 Q3,133,,,-0.4
1965 Q4,-80,,,-0.2
1966 Q1,47,,,-0.4
1966 Q2,64,,,0
1966 Q3,44,,,0
1966 Q4,-133,,,1.7
1967 Q1,-152,,,0.5
1967 Q2,-63,,,-0.5
1967 Q3,154,,,-0.3
1967 Q4,240,,,-2.6
1968 Q1,398,,,-1
1968 Q2,162,,,-0.8
1968 Q3,98,,,-0.3
1968 Q4,30,,,-0.6
1969 Q1,-202,,,0.3
1969 Q2,-119,,,0.8
1969 Q3,0,,,1.4
1969 Q4,-473,,,1
1970 Q1,-594,,,2.4
1970 Q2,-9,,,1.1
1970 Q3,49,,,0.6
1970 Q4,-264,,,1.5
1971 Q1,-445,,,1.4
1971 Q2,-216,,,1.7
1971 Q3,-167,,,2.2
1971 Q4,-502,,,1.5
1972 Q1,-154,,,0.7
1972 Q2,208,,,0.8
1972 Q3,53,,,-1
1972 Q4,370,,,-0.2
1973 Q1,115,,,-1.3
1973 Q2,327,,,-0.7
1973 Q3,35,,,-1.9
1973 Q4,554,,,-2.2
1974 Q1,852,,,-3.8
1974 Q2,1005,,,-4.3
1974 Q3,491,,,-3.8
1974 Q4,837,,,-3.8
1975 Q1,386,,,-1.9
1975 Q2,647,,,-1.4
1975 Q3,460,,,-2.7
1975 Q4,76,,,-0.8
1976 Q1,12,,,0.3
1976 Q2,180,,,-1.1
1976 Q3,251,,,-1.5
1976 Q4,64,,,-1.1
1977 Q1,-304,,,-1.2
1977 Q2,-994,,,-1.2
1977 Q3,-1400,,,0.5
1977 Q4,-588,,,0.6
1978 Q1,-241,,,-0.4
1978 Q2,-704,,,1
1978 Q3,-431,,,0.1
1978 Q4,-1279,,,0.8
1979 Q1,-677,,,-1.5
1979 Q2,435,,,-0.4
1979 Q3,283,,,0.2
1979 Q4,823,,,-0.7
1980 Q1,-794,,,-0.6
1980 Q2,91,,,-0.8
1980 Q3,-164,,,1.3
1980 Q4,-1290,,,2.4
1981 Q1,-3649,,,4.1
1981 Q2,-2128,,,2.2
1981 Q3,-157,,,-0.2
1981 Q4,622,,,0.8
1982 Q1,201,,,1.3
1982 Q2,1181,,,-0.2
1982 Q3,-1224,,,0.2
1982 Q4,-1391,,,1.4
1983 Q1,-1757,,,1.3
1983 Q2,185,,,-0.7
1983 Q3,819,,,0.8
1983 Q4,-2534,,,-0.2
1984 Q1,-856,,,0.9
1984 Q2,-1856,,,-1.4
1984 Q3,-1247,,,-1.2
1984 Q4,-3171,,,-0.2
1985 Q1,-1634,,,-1.3
1985 Q2,-19,,,0.3
1985 Q3,-4463,,,0.1
1985 Q4,4459,,,-0.2
1986 Q1,-358,,,0.3
1986 Q2,-944,,,-1
1986 Q3,3629,,,-1.9
1986 Q4,-2449,,,-1.2
1987 Q1,4394,-958,7512,-0.1
1987 Q2,2798,6797,5512,-1.5
1987 Q3,-882,-10230,14527,-1.8
1987 Q4,4296,-4549,13827,-2.9
1988 Q1,6400,5814,1192,-3.3
1988 Q2,2472,7772,-779,-3.3
1988 Q3,2056,-558,5440,-3.3
1988 Q4,6061,-3240,12590,-5.1
1989 Q1,9504,12405,-1953,-4.2
1989 Q2,640,7187,-9055,-4.6
1989 Q3,3396,11781,-7106,-4.9
1989 Q4,74,134,-2676,-3.8
1990 Q1,6973,7773,-5956,-4.3
1990 Q2,8382,1904,3643,-4.1
1990 Q3,5578,-8560,10766,-2.4
1990 Q4,1339,16080,-11498,-2.5
1991 Q1,-3647,2797,-3005,-1.9
1991 Q2,1086,14318,-11148,-1.1
1991 Q3,508,10528,-10239,-1.6
1991 Q4,9908,5527,1871,-1.1
1992 Q1,-2890,11492,-13711,-1.3
1992 Q2,4828,4644,1172,-1.7
1992 Q3,2031,1615,-2001,-1.9
1992 Q4,12342,16795,-4518,-1.7
1993 Q1,-8786,26497,-33730,-1.3
1993 Q2,8186,6794,1975,-1.8
1993 Q3,13234,15435,-2000,-1.4
1993 Q4,9644,42047,-27040,-1.2
1994 Q1,-4253,-30008,27343,-0.6
1994 Q2,-385,-18674,21849,-1
1994 Q3,1374,-4253,7360,-0.3
1994 Q4,24,11473,-4063,-0.4
1995 Q1,-1424,16795,-15566,0.3
1995 Q2,-5397,-12559,15579,-1.5
1995 Q3,2072,10138,-6105,-1.3
1995 Q4,3032,1279,4135,-0.6
1996 Q1,-10876,-15314,9109,-0.8
1996 Q2,10634,26106,-15510,-0.6
1996 Q3,-2553,9343,-15493,-0.7
1996 Q4,1855,170,5128,-0.5
1997 Q1,-10091,-6167,-5804,-0.1
1997 Q2,6847,34119,-26864,0.1
1997 Q3,1200,2418,13958,0
1997 Q4,-4302,-1360,-3745,-0.7
1998 Q1,-5227,14049,-23999,-1.2
1998 Q2,3277,20279,-17682,-0.8
1998 Q3,4293,-3995,18864,0.6
1998 Q4,-1464,13604,15867,-0.2
1999 Q1,4363,-2269,208,-3
1999 Q2,2113,12234,70178,-2.4
1999 Q3,10343,12645,-4835,-3.2
1999 Q4,4207,-19069,18734,-1.9
2000 Q1,-1498,-18438,113806,-2.6
2000 Q2,8850,35371,-15312,-3
2000 Q3,4147,-25065,-7623,-1.4
2000 Q4,2280,-4117,14763,-2.6
2001 Q1,-4922,15129,-18308,-2
2001 Q2,11750,41634,-25762,-1.9
2001 Q3,9783,12870,-3904,-2.2
2001 Q4,13485,11523,-54,-2.2
2002 Q1,-2952,4391,15402,-2
2002 Q2,7878,35342,-21161,-2.8
2002 Q3,7991,-20644,38102,-2.2
2002 Q4,12246,-22253,14248,-1
2003 Q1,-10647,8422,4962,-1.1
2003 Q2,5840,18514,-5032,-2.2
2003 Q3,3394,-47502,64121,-2.2
2003 Q4,13747,-28299,31859,-0.9
2004 Q1,-2126,-11588,26169,-1.3
2004 Q2,1305,-25783,33128,-2.3
2004 Q3,9133,55843,-26226,-3.2
2004 Q4,6944,25634,-33949,-1
2005 Q1,-6558,-42811,47377,-1.6
2005 Q2,5774,604,778,-0.7
2005 Q3,9803,-29748,-33855,-1.7
2005 Q4,9005,-19253,31825,-1.1
2006 Q1,4992,-28293,5187,-1.7
2006 Q2,15084,8051,-11879,-1.1
2006 Q3,12530,-65756,60747,-2.8
2006 Q4,-299,2685,923,-3.4
2007 Q1,5209,23100,-22325,-2.7
2007 Q2,-248,11092,28638,-2.2
2007 Q3,19034,-2835,38436,-3.1
2007 Q4,11597,-6946,63415,-3
2008 Q1,3615,-4045,59414,-2.9
2008 Q2,7965,-3337,47945,-3.8
2008 Q3,16663,7597,16475,-3.7
2008 Q4,17622,-29091,123298,-4.5
2009 Q1,1395,-28849,35786,-4.3
2009 Q2,8859,-3864,-527,-3.7
2009 Q3,11901,5826,-16192,-1.3
2009 Q4,9280,-41234,12194,-2
2010 Q1,7690,-54861,32878,-2.4
2010 Q2,-5470,-4774,11651,-1.8
2010 Q3,6321,5955,-6289,-3.3
2010 Q4,20194,68558,-51782,-2.9
2011 Q1,-2454,23380,-19077,-1.9
2011 Q2,924,30191,-21049,-0.2
2011 Q3,7200,-604,28911,-2.3
2011 Q4,9027,17851,4298,-2.2
2012 Q1,9452,31441,-60826,-3.5
2012 Q2,11977,-10772,3373,-3.6
2012 Q3,11085,169734,-138379,-3.8
2012 Q4,16615,26471,-13569,-4
2013 Q1,13319,-19505,34824,-3.9
2013 Q2,-4390,33083,-7708,-2.3
2013 Q3,30083,-33053,-17400,-6
2013 Q4,26415,32350,21692,-5.6
2014 Q1,8860,-13878,-15578,-4.7
2014 Q2,27530,-37573,35225,-5.4
2014 Q3,29752,-10443,52439,-6.1
2014 Q4,27313,-34934,30277,-5.6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,