Date,EUR FA Net,EUR FA PI,EUR FA OI
2015Feb,16862,8867,-6944
2015Jan,-20340,-32024,-658
2014Dec,-42313,23143,-41459
2014Nov,74566,16078,26057
2014Oct,34569,44357,-17310
2014Sep,49283,56107,-33261
2014Aug,5160,9251,-7663
2014Jul,26890,26857,-9546
2014Jun,91164,6998,87073
2014May,2430,-64840,66245
2014Apr,-3740,28393,-46940
2014Mar,74844,43439,12750
2014Feb,-2100,-53050,52713
2014Jan,-27994,-39897,18773
2013Dec,108084,15260,58843
2013Nov,30485,-52332,55713
2013Oct,44573,9053,42675
2013Sep,44171,2856,18833
2013Aug,40714,5412,36308
2013Jul,14126,12308,6151
2013Jun,84796,6373,91352
2013May,8304,-29161,79581
2013Apr,30605,13769,-4157
2013Mar,36594,36477,-17196
2013Feb,-2548,-4820,7191
2013Jan,-4607,-24228,4754
2012Dec,71141,22765,42834
2012Nov,100392,-8115,78149
2012Oct,46814,-64932,56446
2012Sep,41185,10832,11118
2012Aug,21708,22532,21735
2012Jul,-7519,-11403,34972
2012Jun,15448,-88385,63685
2012May,-54738,-30496,15150
2012Apr,-10160,18495,-19451
2012Mar,13425,11260,-16807
2012Feb,7363,-1869,1216
2012Jan,-20922,79188,-80815
2011Dec,3853,2454,-4255
2011Nov,-27158,-6547,-20165
2011Oct,-45764,-4357,-58880
2011Sep,-9109,-38470,5269
2011Aug,-37841,-16545,-32390
2011Jul,19132,27124,-21684
2011Jun,-49382,-106528,68236
2011May,-44744,-65809,8942
2011Apr,42144,6984,35492
2011Mar,42468,-56114,60633
2011Feb,34829,-68530,88173
2011Jan,-39211,8160,-43914
2010Dec,-11607,5073,15789
2010Nov,-108947,-67402,3374
2010Oct,58573,64827,21374
2010Sep,3462,-57625,25298
2010Aug,66401,37906,3535
2010Jul,36270,33711,-14299
2010Jun,-17222,-15878,-5194
2010May,-75417,-62903,-10429
2010Apr,2082,-20651,-18041
2010Mar,2503,8886,-47781
2010Feb,-10227,6755,-29437
2010Jan,-10684,-28331,8738
2009Dec,45851,-27482,69677
2009Nov,7649,5490,-6725
2009Oct,-45053,-33557,-11022
2009Sep,38330,-36179,33562
2009Aug,1343,-6866,-15346
2009Jul,64409,11366,29853
2009Jun,-870,-56088,58891
2009May,23536,-30537,47673
2009Apr,-18880,6035,1086
2009Mar,-25910,-65665,12175
2009Feb,-58916,-94686,35876
2009Jan,-7685,54868,-75717